active_key,melody_sequence,chord,chord_count,prev_chord_1,prev_chord_2,prev_chord_3,prev_chord_4
Gb:maj,"(61, 63, 66, 68)",F#:maj,1,None,None,None,None
Gb:maj,"(61, 63, 66, 68)",Eb:min,1,None,F#:maj,B:maj7,Bb:min7
Gb:maj,"(61, 63, 66, 68)",Eb:min7,4,C#:maj,F#:maj,B:maj7,Bb:min7
Gb:maj,"(61, 63, 66, 68)",F#:maj,3,Bb:min7,Eb:min7,B:maj7,C#:maj
Gb:maj,"(61, 63, 66, 68)",Eb:min7,1,C#:7,F#:maj,B:maj7,Bb:min7
Gb:maj,"(61, 63, 66, 68)",Eb:min,1,C#:maj,F#:maj,B:maj,Bb:min
Gb:maj,"(61, 63, 66, 68)",F#:maj,1,Bb:min,Eb:min,B:maj,C#:maj
Gb:maj,"(61, 63, 66, 68)",F#:maj,1,Bb:min7,Eb:min7,B:maj9,C#:maj
Gb:maj,"(61, 63, 66, 68)",Eb:min7,1,C#:maj,F#:maj,B:maj7,C#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj7,1,None,None,None,F#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj7,1,F#:maj,B:maj7,Bb:min7,Eb:min
Gb:maj,"(70, 66, 63, 68)",B:maj7,3,Eb:min7,B:maj7,C#:maj,F#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj,1,Eb:min7,B:maj7,C#:maj,F#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj7,4,F#:maj,B:maj7,Bb:min7,Eb:min7
Gb:maj,"(70, 66, 63, 68)",B:maj9,1,F#:maj,B:maj7,Bb:min7,Eb:min7
Gb:maj,"(70, 66, 63, 68)",B:maj7,1,Eb:min7,B:maj7,C#:7,F#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj,1,F#:maj,B:maj,Bb:min,Eb:min
Gb:maj,"(70, 66, 63, 68)",B:maj7,1,Eb:min,B:maj,C#:maj,F#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj7,1,Eb:min7,B:maj9,C#:maj,F#:maj
Gb:maj,"(70, 66, 63, 68)",B:maj7,1,F#:maj,B:maj7,C#:maj,Eb:min7
Gb:maj,"(68, 65, 61, 66)",Bb:min7,1,None,None,F#:maj,B:maj7
Gb:maj,"(68, 65, 61, 66)",Bb:min7,3,B:maj7,C#:maj,F#:maj,B:maj7
Gb:maj,"(68, 65, 61, 66)",Bb:min7,1,B:maj7,C#:7,F#:maj,B:maj7
Gb:maj,"(68, 65, 61, 66)",Bb:min,1,B:maj7,C#:maj,F#:maj,B:maj
Gb:maj,"(68, 65, 61, 66)",Bb:min7,1,B:maj,C#:maj,F#:maj,B:maj7
Gb:maj,"(68, 65, 61, 66)",C#:maj,1,B:maj9,C#:maj,F#:maj,B:maj7
Gb:maj,"(61, 68, 66)",C#:maj,1,B:maj7,Bb:min7,Eb:min,B:maj7
Gb:maj,"(61, 68, 66)",C#:maj,2,B:maj7,Bb:min7,Eb:min7,B:maj7
Gb:maj,"(61, 68, 66)",C#:maj,1,B:maj7,Bb:min7,Eb:min7,B:maj9
Gb:maj,"(61, 68, 66)",C#:maj,1,B:maj7,C#:maj,Eb:min7,B:maj7
Gb:maj,"(66, 66)",B:maj,1,Bb:min7,Eb:min,B:maj7,C#:maj
Gb:maj,"(66, 66)",B:maj7,2,Bb:min7,Eb:min,B:maj7,C#:maj
Gb:maj,"(66, 66)",B:maj7,1,B:maj,C#:maj,Bb:min7,Eb:min
Gb:maj,"(66, 66)",B:maj7,1,C#:maj,B:maj9,Bb:min7,Eb:min
Gb:maj,"(66, 66)",F#:maj,1,None,F#:maj,C#:maj,Eb:min
Gb:maj,"(66, 66)",F#:maj,1,C#:maj,F#:maj,C#:maj,Eb:min
Gb:maj,"(66, 66)",C#:maj,2,F#:maj,B:min,C#:7,B:maj
Gb:maj,"(66, 66)",F#:maj/5,1,Bb:min7,B:maj(9),F#:maj/3,Ab:min9
Gb:maj,"(66, 66)",F#:maj/3,1,F#:maj,C#:maj/3,Eb:min7,B:maj7
Gb:maj,"(65, 66, 65)",C#:maj,1,Eb:min,B:maj7,C#:maj,B:maj
Gb:maj,"(65, 66, 65, 61, 63)",Bb:min7,1,B:maj7,C#:maj,B:maj,C#:maj
Gb:maj,"(65, 66, 65, 61, 63)",Bb:min7,1,Eb:min7,B:maj7,C#:maj,B:maj9
Gb:maj,"(63, 65)",Eb:min,1,C#:maj,B:maj,C#:maj,Bb:min7
Gb:maj,"(63, 65)",Eb:min,1,B:maj7,C#:maj,B:maj9,Bb:min7
Gb:maj,"(65, 66, 65, 63, 61)",C#:maj,1,C#:maj,Bb:min7,Eb:min,B:maj7
Gb:maj,"(65, 66, 65, 63, 61)",C#:maj,1,B:maj9,Bb:min7,Eb:min,B:maj7
Gb:maj,"(65, 66, 65, 63, 61)",C#:maj,1,C#:maj,B:maj,Bb:min7,Ab:min
Gb:maj,"(68, 70, 68)",C#:maj,2,Eb:min,B:maj7,C#:maj,B:maj7
Gb:maj,"(68, 70, 68, 65, 66)",Bb:min7,2,B:maj7,C#:maj,B:maj7,C#:maj
Gb:maj,"(61, 63)",Eb:min7,2,C#:maj,B:maj7,C#:maj,Bb:min7
Gb:maj,"(61, 63)",F#:maj,1,Ab:7,C#:maj,F#:maj,B:maj
Gb:maj,"(61, 63)",B:maj(9),1,Eb:min7,Ab:7,C#:maj,F#:maj(9)
